what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343372270239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343372280907
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1343372284476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343372284732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343372298070
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1343372300591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343372300900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343372311001
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1343372318268
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1343372318897
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1343372319246
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1343372319406
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1343372319550
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1343372320395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1343372322325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1343372332555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1343372335513
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1343372335968
error,log,,,"Errors occurred during the build.",1343372335980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343372335995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1343372337093
