127.0.0.1 - - [20/Jul/2012:10:26:15 +0530] "GET / HTTP/1.1" 404 953
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:26:16 +0530] "GET /Day01/index.html HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:26:17 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:36:51 +0530] "GET /Day01/index.html HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:36:51 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:37:12 +0530] "GET /Day01/index.html HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:37:12 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:38:31 +0530] "GET /Day01/index.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:38:32 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:38:57 +0530] "GET /Day01/index.html HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:39:00 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:39:58 +0530] "GET /Day01/index.html HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:40:04 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:42:33 +0530] "GET /Day01/index.html HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:42:38 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:43:57 +0530] "GET /Day01/index.html HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:43:59 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:44:25 +0530] "GET /Day01/index.html HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:44:36 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:46:33 +0530] "GET /Day01/index.html HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:46:35 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:47:51 +0530] "GET /Day01/index.html HTTP/1.1" 200 1108
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:47:54 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:53:29 +0530] "GET /Day01/index.html HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [20/Jul/2012:10:53:32 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:11:50:59 +0530] "GET /Day01/lab01.html HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [20/Jul/2012:11:50:59 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:11:51:45 +0530] "GET /Day01/lab01.html HTTP/1.1" 200 1601
0:0:0:0:0:0:0:1 - - [20/Jul/2012:11:51:45 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:11:52:07 +0530] "GET /Day01/lab01.html HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [20/Jul/2012:11:52:07 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:00:29 +0530] "GET /Day01/index.html HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:00:29 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:03:26 +0530] "GET /Day01/ooJS.html HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:03:29 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:04:17 +0530] "GET /Day01/ooJS.html HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:04:21 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:05:05 +0530] "GET /Day01/ooJS.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:05:08 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:06:32 +0530] "GET /Day01/ooJS.html HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:06:36 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:10:18 +0530] "GET /Day01/ooJS.html HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:10:20 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:49:33 +0530] "GET /Day01/lab02.html HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:49:33 +0530] "GET /Day01/game.js HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:49:33 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:51:32 +0530] "GET /Day01/lab02UsingJSON.html HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:51:32 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:51:57 +0530] "GET /Day01/lab02UsingJSON.html HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [20/Jul/2012:12:51:57 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:13:10:15 +0530] "GET /Day01/jq1.html HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [20/Jul/2012:13:10:15 +0530] "GET /Day01/jquery-1.7.2.js HTTP/1.1" 200 262283
0:0:0:0:0:0:0:1 - - [20/Jul/2012:13:10:16 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:01:57 +0530] "GET /Day01/jq1.html HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:01:57 +0530] "GET /Day01/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:01:58 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:03:49 +0530] "GET /Day01/index.html HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:03:53 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:05:42 +0530] "GET /Day01/index.html HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:05:42 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:05:54 +0530] "GET /Day01/index.html HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:05:57 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:06:48 +0530] "GET /Day01/jq1.html HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:06:48 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:09:39 +0530] "GET /Day01/jq1.html HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:09:39 +0530] "GET /Day01/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:09:39 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:10:15 +0530] "GET /Day01/jq1.html HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:10:15 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:11:50 +0530] "GET /Day01/jq1.html HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:11:50 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:12:35 +0530] "GET /Day01/jq1.html HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:12:35 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:13:12 +0530] "GET /Day01/jq1.html HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:13:12 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:13:24 +0530] "GET /Day01/jq1.html HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:13:24 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:14:57 +0530] "GET /Day01/jq1.html HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:14:57 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:15:34 +0530] "GET /Day01/jq1.html HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:15:34 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:17:01 +0530] "GET /Day01/jq1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:17:01 +0530] "GET /Day01/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:17:01 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:18:06 +0530] "GET /Day01/jq1.html HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:18:06 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:14:19:17 +0530] "GET /Day01/jq1.html HTTP/1.1" 200 806
